Postcode,'+'+str(SUM([06-12])-SUM([05-26])),05-26,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,LOG(SUM([06-12]) - SUM([05-26])+6),Number of Records
85347,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
85356,30,1,25,24,27,27,29,29,29,28,28,31,1.556302501,1
85365,295,76,138,156,197,221,257,268,290,303,322,371,2.478566496,1
85350,699,197,368,406,490,524,641,694,736,749,806,896,2.848189117,1
85367,50,20,30,33,41,44,47,48,50,56,60,70,1.748188027,1
85364,756,246,433,486,631,670,776,804,849,864,929,"1,002",2.881954971,1
85349,258,163,262,270,298,338,347,378,383,399,397,421,2.421603927,1
85352,6,0,6,6,6,6,6,6,6,6,6,6,1.079181246,1
85336,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
85344,,,,,,,,,,,,,,1
85348,0,11,11,11,11,11,11,11,11,11,11,11,0.778151250,1
85328,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
85346,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
85334,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
85325,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86406,30,34,39,39,47,48,45,46,42,62,60,64,1.556302501,1
86401,9,70,72,72,73,76,76,76,76,76,74,79,1.176091259,1
86413,6,6,6,6,6,6,6,6,6,11,11,12,1.079181246,1
86404,9,12,15,15,17,17,18,19,19,19,20,21,1.176091259,1
86438,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
86441,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
86436,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86440,7,6,6,6,11,12,12,13,13,13,13,13,1.113943352,1
86409,7,60,67,67,66,66,65,65,65,66,66,67,1.113943352,1
86411,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86426,29,6,16,21,23,23,27,29,29,28,32,35,1.544068044,1
86442,94,22,44,51,58,83,92,97,95,104,109,116,2,1
86429,5,1,1,1,1,1,1,1,1,1,6,6,1.041392685,1
85360,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86433,20,14,28,28,28,32,32,33,34,34,34,34,1.414973348,1
86403,21,13,23,23,25,26,27,26,26,28,33,34,1.431363764,1
86444,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86445,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86443,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
86432,0,6,6,6,6,6,6,6,6,6,6,6,0.778151250,1
85607,57,24,38,40,48,48,58,62,67,74,77,81,1.799340549,1
85610,0,0,0,0,0,0,0,0,0,0,0,0,0.778151250,1
85621,357,104,208,243,280,292,318,330,341,374,443,461,2.559906625,1
85624,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
85639,,,,,,,,,,,,,,1
85645,0,1,1,1,1,1,1,1,1,1,1,1,0.778151250,1
