province,country,id,value,color
,Afghanistan,30,0.9903049257232212,red
,Albania,3,0.4460093896713615,orange
,Algeria,1,0.9471245571000273,red
,Andorra,132,0.027444253859348202,green
,Angola,5,0.4117647058823529,orange
,Antigua and Barbuda,0,0.0,green
,Argentina,7,0.9813084112149532,red
,Armenia,4,1.0,red
Australian Capital Territory,Australia,mixed_77,0.0,green
New South Wales,Australia,mixed_70,0.01587786259541985,green
Northern Territory,Australia,mixed_67,0.0,green
Queensland,Australia,mixed_69,0.022988505747126433,green
South Australia,Australia,mixed_68,0.0,green
Tasmania,Australia,mixed_73,0.011049723756906077,green
Victoria,Australia,mixed_72,0.13760806916426513,yellow
Western Australia,Australia,mixed_66,0.017699115044247787,green
,Austria,56,0.06378459852014251,green
,Azerbaijan,2,0.9517906336088154,red
,Bahamas,12,0.14285714285714288,yellow
,Bahrain,9,0.9073291050035236,red
,Bangladesh,13,1.0,red
,Barbados,10,0.12162162162162161,yellow
,Belarus,101,0.9492428639265551,red
,Belgium,128,0.2296406024053892,yellow
,Benin,18,0.3127572016460905,yellow
,Bhutan,31,1.0,red
,Bolivia,16,0.9547952047952049,red
,Bosnia and Herzegovina,15,0.4539007092198581,orange
,Brazil,20,0.9719338949672796,red
,Brunei,22,0.0,green
,Bulgaria,21,0.5851339671564391,orange
,Burkina Faso,209,0.24330900243309,yellow
,Cabo Verde,new_id_0,0.6785714285714286,orange
,Cambodia,24,0.0,green
,Cameroon,34,1.0,red
Alberta,Canada,mixed_8,0.22558375634517766,yellow
British Columbia,Canada,mixed_5,0.17973372781065092,yellow
Grand Princess,Canada,new_id_0,0.0,green
Manitoba,Canada,mixed_11,0.036253776435045314,green
New Brunswick,Canada,mixed_15,0.0,green
Newfoundland and Labrador,Canada,mixed_44,-0.006153846153846154,green
Nova Scotia,Canada,mixed_45,0.09766763848396502,green
Ontario,Canada,mixed_3,0.49732418783447646,orange
Prince Edward Island,Canada,mixed_48,0.0,green
Quebec,Canada,mixed_14,0.6789820560927504,orange
Saskatchewan,Canada,mixed_9,0.25,yellow
,Central African Republic,39,0.7896995708154506,orange
,Chad,35,0.8113879003558718,red
,Chile,32,0.9908366635273754,red
Anhui,China,29,0.0,green
