province,country,id,value,color,Change,value_old,color_old
"""Korea","South""",95,0.033081783,green,yellow,0.041067041,green
,Afghanistan,30,1.0,red,yellow,0.979708722,red
,Albania,3,0.483568075,orange,red,0.46948356799999996,orange
,Algeria,1,0.9533622559999999,red,red,0.952472002,red
,Andorra,132,0.010291595,green,red,0.030874786,green
,Angola,5,0.882352941,red,red,0.5,orange
,Antigua and Barbuda,0,0.0,green,green,0.0,green
,Argentina,7,1.0,red,red,0.973554968,red
,Armenia,4,0.99913119,red,red,0.981223697,red
Western Australia,Australia,mixed_66,0.015929204,red,green,0.007079645999999999,green
Northern Territory,Australia,mixed_67,0.0,red,green,0.0,green
South Australia,Australia,mixed_68,0.0,red,green,0.0,green
Queensland,Australia,mixed_69,0.016283525,red,green,0.022988506000000002,green
New South Wales,Australia,mixed_70,0.015267176,red,green,0.01648855,green
Victoria,Australia,mixed_72,0.108789625,red,green,0.13904899099999998,yellow
Tasmania,Australia,mixed_73,0.011494253000000001,red,green,0.011494253000000001,green
Australian Capital Territory,Australia,mixed_77,0.0,red,green,0.0,green
,Austria,56,0.062619896,green,red,0.06563442,green
,Azerbaijan,2,0.972868217,red,red,0.992311389,red
,Bahamas,12,0.125,yellow,red,0.14285714300000002,yellow
,Bahrain,9,0.931350892,red,red,0.928294574,red
,Bangladesh,13,0.983424995,red,red,0.992572833,red
,Barbados,10,0.135135135,yellow,green,0.148648649,yellow
,Belarus,101,0.94486361,red,red,0.9536175159999999,red
,Belgium,128,0.18558882699999998,yellow,red,0.251437238,yellow
,Belize,14,0.0,green,red,0.0,green
,Benin,18,-0.7901234570000001,green,green,0.609053498,orange
,Bhutan,31,0.571428571,orange,green,1.0,red
,Bolivia,16,1.0,red,red,0.9701038759999999,red
,Bosnia and Herzegovina,15,0.41033434700000004,orange,red,0.489361702,orange
,Botswana,181,0.6315789470000001,orange,green,0.0,green
,Brazil,20,0.779605351,orange,red,0.940086802,red
,Brunei,22,0.0,green,green,0.0,green
,Bulgaria,21,0.563526361,orange,red,0.623163354,orange
,Burkina Faso,209,0.21654501199999998,yellow,red,0.272506083,yellow
,Burma,17,0.20555555600000003,yellow,red,0.985,red
,Burundi,28,1.0,red,green,0.21052631600000002,yellow
,Cambodia,24,0.011235955,green,green,0.0,green
,Cameroon,34,1.0,red,green,0.90545651,red
Manitoba,Canada,mixed_11,0.012048193,red,red,0.03313253,green
Quebec,Canada,mixed_14,0.631404243,red,red,0.694953577,orange
New Brunswick,Canada,mixed_15,0.013605441999999999,red,green,0.0,green
Yukon,Canada,mixed_26,0.0,red,green,0.0,green
Ontario,Canada,mixed_3,0.5650109289999999,red,red,0.507575187,orange
Nunavut,Canada,mixed_43,0.0,red,green,0.0,green
Newfoundland and Labrador,Canada,mixed_44,-0.006153846,red,green,-0.006153846,green
Nova Scotia,Canada,mixed_45,0.07647058799999999,red,green,0.095588235,green
Northwest Territories,Canada,mixed_46,0.0,red,green,0.0,green
Prince Edward Island,Canada,mixed_48,0.0,red,green,0.0,green
British Columbia,Canada,mixed_5,0.205621302,red,red,0.187130178,yellow
Alberta,Canada,mixed_8,0.17218274100000003,red,red,0.238172589,yellow
Saskatchewan,Canada,mixed_9,0.298850575,red,green,0.31321839100000004,yellow
,Cape Verde,41,0.0,green,red,0.0,green
,Central African Republic,39,1.0,red,green,0.894849785,red
,Chad,35,0.877224199,red,green,0.877224199,red
,Chile,32,0.767441321,orange,red,0.984805748,red
Tibet,China,29,0.0,green,green,0.0,green
Qinghai,China,29,0.0,green,green,0.0,green
Inner Mongolia,China,29,0.10810810800000001,yellow,green,0.162162162,yellow
Jilin,China,29,0.315384615,yellow,green,0.507692308,orange
