jhu_province,jhu_country,province,country,id,value,color,Change,value_old,color_old
,"Korea, South","""Korea","South""",95,0.033081783,green,yellow,0.041067041,green
,Afghanistan,,Afghanistan,30,1,red,yellow,0.979708722,red
,Albania,,Albania,3,0.483568075,orange,red,0.469483568,orange
,Algeria,,Algeria,1,0.953362256,red,,0.952472002,red
,Andorra,,Andorra,132,0.010291595,green,red,0.030874786,green
,Angola,,Angola,5,0.882352941,red,green,0.5,orange
,Antigua and Barbuda,,Antigua and Barbuda,0,0,green,,0,green
,Argentina,,Argentina,7,1,red,,0.973554968,red
,Armenia,,Armenia,4,0.99913119,red,,0.981223697,red
Western Australia,Australia,Western Australia,Australia,mixed_66,0.015929204,red,green,0.007079646,green
Northern Territory,Australia,Northern Territory,Australia,mixed_67,0,red,green,0,green
South Australia,Australia,South Australia,Australia,mixed_68,0,red,green,0,green
Queensland,Australia,Queensland,Australia,mixed_69,0.016283525,red,green,0.022988506,green
New South Wales,Australia,New South Wales,Australia,mixed_70,0.015267176,red,green,0.01648855,green
Victoria,Australia,Victoria,Australia,mixed_72,0.108789625,red,green,0.139048991,yellow
Tasmania,Australia,Tasmania,Australia,mixed_73,0.011494253,red,green,0.011494253,green
Australian Capital Territory,Australia,Australian Capital Territory,Australia,mixed_77,0,red,green,0,green
,Austria,,Austria,56,0.062619896,green,red,0.06563442,green
,Azerbaijan,,Azerbaijan,2,0.972868217,red,,0.992311389,red
,Bahamas,,Bahamas,12,0.125,yellow,red,0.142857143,yellow
,Bahrain,,Bahrain,9,0.931350892,red,red,0.928294574,red
,Bangladesh,,Bangladesh,13,0.983424995,red,,0.992572833,red
,Barbados,,Barbados,10,0.135135135,yellow,green,0.148648649,yellow
,Belarus,,Belarus,101,0.94486361,red,,0.953617516,red
,Belgium,,Belgium,128,0.185588827,yellow,red,0.251437238,yellow
,Belize,,Belize,14,0,green,red,0,green
,Benin,,Benin,18,-0.790123457,green,,0.609053498,orange
,Bhutan,,Bhutan,31,0.571428571,orange,green,1,red
,Bolivia,,Bolivia,16,1,red,,0.970103876,red
,Bosnia and Herzegovina,,Bosnia and Herzegovina,15,0.410334347,orange,red,0.489361702,orange
,Botswana,,Botswana,181,0.631578947,orange,green,0,green
,Brazil,,Brazil,20,0.779605351,orange,red,0.940086802,red
,Brunei,,Brunei,22,0,green,,0,green
,Bulgaria,,Bulgaria,21,0.563526361,orange,red,0.623163354,orange
,Burkina Faso,,Burkina Faso,209,0.216545012,yellow,red,0.272506083,yellow
,Burma,,Burma,17,0.205555556,yellow,red,0.985,red
,Burundi,,Burundi,28,1,red,green,0.210526316,yellow
,Cambodia,,Cambodia,24,0.011235955,green,,0,green
,Cameroon,,Cameroon,34,1,red,yellow,0.90545651,red
Manitoba,Canada,Manitoba,Canada,mixed_11,0.012048193,red,red,0.03313253,green
Quebec,Canada,Quebec,Canada,mixed_14,0.631404243,red,red,0.694953577,orange
New Brunswick,Canada,New Brunswick,Canada,mixed_15,0.013605442,red,red,0,green
Yukon,Canada,Yukon,Canada,mixed_26,0,red,red,0,green
Ontario,Canada,Ontario,Canada,mixed_3,0.565010929,red,red,0.507575187,orange
Nunavut,Canada,Nunavut,Canada,mixed_43,0,red,red,0,green
Newfoundland and Labrador,Canada,Newfoundland and Labrador,Canada,mixed_44,-0.006153846,red,red,-0.006153846,green
Nova Scotia,Canada,Nova Scotia,Canada,mixed_45,0.076470588,red,red,0.095588235,green
Northwest Territories,Canada,Northwest Territories,Canada,mixed_46,0,red,red,0,green
Prince Edward Island,Canada,Prince Edward Island,Canada,mixed_48,0,red,red,0,green
British Columbia,Canada,British Columbia,Canada,mixed_5,0.205621302,red,red,0.187130178,yellow
Alberta,Canada,Alberta,Canada,mixed_8,0.172182741,red,red,0.238172589,yellow
Saskatchewan,Canada,Saskatchewan,Canada,mixed_9,0.298850575,red,red,0.313218391,yellow
,Cabo Verde,,Cape Verde,41,0,green,,0,green
,Central African Republic,,Central African Republic,39,1,red,,0.894849785,red
,Chad,,Chad,35,0.877224199,red,green,0.877224199,red
,Chile,,Chile,32,0.767441321,orange,red,0.984805748,red
Tibet,China,Tibet,China,29,0,green,green,0,green
Qinghai,China,Qinghai,China,29,0,green,green,0,green
Inner Mongolia,China,Inner Mongolia,China,29,0.108108108,yellow,green,0.162162162,yellow
Jilin,China,Jilin,China,29,0.315384615,yellow,green,0.507692308,orange
Xinjiang,China,Xinjiang,China,29,0,green,green,0,green
Gansu,China,Gansu,China,29,0,green,green,0,green
Hong Kong,China,Hong Kong,China,29,0.03622393,green,green,0.024149286,green
Heilongjiang,China,Heilongjiang,China,29,0,green,green,0.002967359,green
Shaanxi,China,Shaanxi,China,29,0,green,green,0,green
Zhejiang,China,Zhejiang,China,29,0,green,green,0,green
Shanxi,China,Shanxi,China,29,0,green,green,0,green
Ningxia,China,Ningxia,China,29,0,green,green,0,green
Hebei,China,Hebei,China,29,0,green,green,0,green
Macau,China,Macau,China,29,0,green,green,0,green
