,province,country,id,value,color,Change,value_old,color_old,Change1
0,"""Korea","South""",95,0.033081783,green,yellow,0.041067041,green,Cases almost under control
1,,Afghanistan,30,1.0,red,yellow,0.979708722,red,Cases almost under control
2,,Albania,3,0.483568075,orange,green,0.469483568,orange,Cases under control
3,,Algeria,1,0.953362256,red,green,0.952472002,red,Cases under control
4,,Andorra,132,0.010291595,green,green,0.030874786,green,Cases under control
5,,Angola,5,0.882352941,red,green,0.5,orange,Cases under control
6,,Antigua and Barbuda,0,0.0,green,green,0.0,green,Cases under control
7,,Argentina,7,1.0,red,yellow,0.973554968,red,Cases almost under control
8,,Armenia,4,0.99913119,red,yellow,0.981223697,red,Cases almost under control
9,Western Australia,Australia,mixed_66,0.015929204,red,yellow,0.007079646,green,Cases almost under control
10,Northern Territory,Australia,mixed_67,0.0,red,yellow,0.0,green,Cases almost under control
11,South Australia,Australia,mixed_68,0.0,red,yellow,0.0,green,Cases almost under control
12,Queensland,Australia,mixed_69,0.016283525,red,yellow,0.022988506,green,Cases almost under control
13,New South Wales,Australia,mixed_70,0.015267176,red,yellow,0.01648855,green,Cases almost under control
14,Victoria,Australia,mixed_72,0.108789625,red,yellow,0.139048991,yellow,Cases almost under control
15,Tasmania,Australia,mixed_73,0.011494253,red,yellow,0.011494253,green,Cases almost under control
16,Australian Capital Territory,Australia,mixed_77,0.0,red,yellow,0.0,green,Cases almost under control
17,,Austria,56,0.062619896,green,red,0.06563442,green,Cases increasing
18,,Azerbaijan,2,0.972868217,red,yellow,0.992311389,red,Cases almost under control
19,,Bahamas,12,0.125,yellow,green,0.142857143,yellow,Cases under control
20,,Bahrain,9,0.931350892,red,yellow,0.928294574,red,Cases almost under control
21,,Bangladesh,13,0.983424995,red,yellow,0.992572833,red,Cases almost under control
22,,Barbados,10,0.135135135,yellow,yellow,0.148648649,yellow,Cases almost under control
23,,Belarus,101,0.94486361,red,green,0.953617516,red,Cases under control
24,,Belgium,128,0.185588827,yellow,yellow,0.251437238,yellow,Cases almost under control
25,,Belize,14,0.0,green,green,0.0,green,Cases under control
26,,Benin,18,-0.790123457,green,green,0.609053498,orange,Cases under control
27,,Bhutan,31,0.571428571,orange,green,1.0,red,Cases under control
28,,Bolivia,16,1.0,red,yellow,0.970103876,red,Cases almost under control
29,,Bosnia and Herzegovina,15,0.410334347,orange,yellow,0.489361702,orange,Cases almost under control
30,,Botswana,181,0.631578947,orange,green,0.0,green,Cases under control
31,,Brazil,20,0.779605351,orange,yellow,0.940086802,red,Cases almost under control
32,,Brunei,22,0.0,green,yellow,0.0,green,Cases almost under control
33,,Bulgaria,21,0.563526361,orange,yellow,0.623163354,orange,Cases almost under control
34,,Burkina Faso,209,0.216545012,yellow,green,0.272506083,yellow,Cases under control
35,,Burma,17,0.205555556,yellow,yellow,0.985,red,Cases almost under control
36,,Burundi,28,1.0,red,green,0.210526316,yellow,Cases under control
37,,Cambodia,24,0.011235955,green,green,0.0,green,Cases under control
38,,Cameroon,34,1.0,red,green,0.90545651,red,Cases under control
39,Manitoba,Canada,mixed_11,0.012048193,red,yellow,0.03313253,green,Cases almost under control
40,Quebec,Canada,mixed_14,0.631404243,red,yellow,0.694953577,orange,Cases almost under control
41,New Brunswick,Canada,mixed_15,0.013605442,red,yellow,0.0,green,Cases almost under control
42,Yukon,Canada,mixed_26,0.0,red,green,0.0,green,Cases under control
